,name,What college are you at?,I identify as...,I want to be matched with people looking for...,I want to match with people who are,How do you feel about an open/polyamorous relationship?,What year are you in?,What years do you want to match with?,What do you study?,Where do you go?,How COVID-Secure is your Date?,What do you talk about?,How far do you go?,It's ok to leave friends on read,Capitalism has failed the planet,University COVID guidelines are too harsh,Sharking is predatory,Drug laws should be loosened,I am scared that if I express my opinions I will be cancelled,Pissing in the sink is normal,How smart are you compared to the average Oxford student?,Was clubbing a large part of your social life?,The Pre-Covid best night out was...,How do you feel about alcohol?,How do you feel about cigarettes?,Is music important in your relationships?,Who are your favourite musicians?,How stylish are you?,How outdoorsy are you?,How kinky are you compared to the average Oxford student?,Is sports important in your relationships?,How important is emotional vulnerability in your relationships?,Which of these traits is most important for you in a partner?,Which of these traits do you have most?,Which of these traits do you have least?,I would best describe my political views as being...,There are some political views I don't want to be matched with,I do not want to match with someone who is...,Best Chip Van in Oxford,Worst Subject,Sexiest JCR Position,Biggest Waste of Human Potential,Nicest College,Biggest Name On Campus,I want to enter a crush,My crush's first name is...,My crush's college is...,I do not want to match with someone from my college,I do not want to match with someone from my course,Is there a particular college you don't want a match from?,I don't want a match from...,How was the quiz?,Any feedback for next time?,Do you want to share any contact details with your match (other than your Oxford email)?,Submitted At,Token,Unnamed: 60,Unnamed: 61,Unnamed: 62
1928,person 2916,Exeter College,Female,,Male,Not interested,First,"First, Second, Third",Law (Jurisprudence),Dinner,"Live fast, die young",The Deep Stuff™,Horizontal,3,4,3,1,2,3,1,3,2,,4,1,2,,4,1,,1,5,Intelligence,Sense of Humour,Kindness,Moderately left-wing,True,"Very conservative, Moderately conservative",Hassan's,Mathematics,President,The Union,Lincoln College,Malala,False,,,False,True,True,Oriel College,3,No,False,2020-10-28 23:12:37,2swev5sh1pkmxa2sw5ebb3zhxt6t15eb,,,
1929,person 1597,Somerville College,Female,,Male,Not interested,First,"First, Second",Modern Languages,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,5,3,3,4,2,1,2,1,,5,4,5,"The Style Council, Tame Impala, The Stone Roses, The Smiths, The Cure, Blondie, The Charlatans, Pulp",2,2,3.0,1,4,Kindness,Kindness,Confidence,Moderately left-wing,True,Very conservative,Hassan's,Geography,President,OUCA,Mansfield College,Alfie Brazier,False,,,False,True,False,,4,No,False,2020-10-28 23:20:06,ktw0v2b1dgxzm5dmfxinqktw0v2oftid,,,
1930,person 87,Somerville College,Male,,Female,Not interested,First,First,"Philosophy, Politics and Economics (PPE)",Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,2,5,3,3,5,3,4,1,4,Fever,5,4,5,"Tyler, Green Day, Beatles, Pink Floyd, Killers, Rex, Smiths, Oasis, Frank Ocean",2,4,3.0,2,4,Sense of Humour,Sense of Humour,Intelligence,Very left-wing,True,"Very conservative, Moderately conservative",Hassan's,Classics,President,OUCA,Mansfield College,Vic,False,,,False,True,True,Christ Church,5,No,True,2020-10-28 23:20:31,pdf8a1gy0jea93xiohhpdf8a1gvhcvt1,,,
1931,person 275,Balliol College,Male,,Female,Not interested,Third,"Second, Third, First",Classics,Coffee,"Live fast, die young","Art, Music, Culture...",Horizontal,3,2,4,2,3,3,5,2,4,Fever,4,1,2,,2,4,2.0,1,4,Sense of Humour,Kindness,Confidence,Moderate,False,,Ahmed's,Mathematics and Statistics,Freshers Rep,The Union,Brasenose College,Nicholas Wiseman,True,person 3031,St Hilda's College,False,False,True,St Hilda's College,4,"So I only want to be matched with one person from a college and would be awkward if I matched with anyone else from that college. Bit of an icky situation. Like maybe idk how the algorithm works but if the “I have a crush bit” could override the “college bit” or u could make exceptions. Idk prob too complex so sorry about that, but was a fun quiz!",False,2020-10-28 23:32:22,ok74ftswgpsw3vq0r2p3ok74fqf7o681,,,
1932,person 1527,Trinity College,Male,,Female,Not interested,First,First,Materials Science,Coffee,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,3,3,3,2,2,2,3,1,,3,1,4,Herbie Hancock,3,3,1.0,2,4,Ambition,Ambition,Confidence,Moderately conservative,False,,Hassan's,"Philosophy, Politics and Economics (PPE)",President,Student Journalism,Mansfield College,Eve Bennett,False,,,True,True,False,,4,Don't let me go down the middle so much,False,2020-10-28 23:37:53,hxco10qfzh0pus5kn9gy9hxco10qz774,,,
1933,person 1718,Balliol College,Male,,Female,Not interested,Third,"Second, Third, First, Fourth + / Post Grad",Classics,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,2,2,4,2,2,2,1,3,2,,4,1,1,,5,3,,1,3,Sense of Humour,Kindness,Ambition,Moderately conservative,True,Very left-wing,Ahmed's,"Philosophy, Politics and Economics (PPE)",Entz,Student Journalism,Merton College,Nicholas Wiseman,True,did not enter oxmatch,Merton College,True,True,False,,4,What does it mean “worst trait” - like is that the one you’re not confident etc enough in or is it what your excessively?,False,2020-10-28 23:55:08,k8fhiowhgcff6xnas7k8fhk0zsl000y7,,,
1934,person 657,The Queen's College,Female,,Male,Not interested,Third,Fourth + / Post Grad,History,Drinks,As long as it's legal,Politics,Peck on the cheek,5,1,4,3,4,3,1,4,3,Bridge,4,1,3,,5,4,2.0,4,4,Intelligence,Confidence,Ambition,Moderately conservative,True,"Very left-wing, Moderately left-wing",Hassan's,Fine Art,President,Rowing,Brasenose College,Sam Milward,True,did not enter oxmatch,St Peter's College,True,True,False,,5,None!,False,2020-10-29 00:14:43,z0ess62vjnhu3z9az0essoww0z74n910,,,
1935,person 1178,New College,Female,,Male,Not interested,First,"First, Second",Computer Science,Coffee,As long as it's legal,The Deep Stuff™,Peck on the cheek,3,2,2,3,1,2,1,3,3,Bridge,4,1,4,"Jacob Collier, Tom Misch",3,5,2.0,2,4,Confidence,Confidence,Sense of Humour,Moderately conservative,False,,Hassan's,Geography,Entz,Student Journalism,Worcester College,,False,,,False,False,False,,5,Nope,True,2020-10-29 00:18:20,mlrwdkirzj5sr0mlrujqfgajgwdr36fv,,,
1936,person 3044,New College,Female,,Male,Not interested,First,"First, Second, Third",Law (Jurisprudence),Coffee,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,4,3,4,3,3,2,1,3,4,Bridge,4,2,4,"Dave, Morat, the last shadow puppets, Larkin poe",5,5,2.0,5,3,Confidence,Confidence,Ambition,Moderately left-wing,False,,Hassan's,Earth Sciences (Geology),Entz,Student Journalism,Worcester College,,False,,,True,True,False,,5,No,True,2020-10-29 00:31:29,bqn8ctb7oltl0wqgrhmnbqn896k1qzsy,,,
1937,person 72,Christ Church,Male,,Female,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Physics,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,1,3,1,2,5,4,2,4,Park End / ATIK / WTF it's called,5,1,2,,1,4,2.0,1,1,Sense of Humour,Sense of Humour,Confidence,Sightly conservative,False,,McCoy's,Theology and Religion,Entz,Rowing,Christ Church,Ali Izzatdust,False,,,False,False,False,,1,No,True,2020-10-29 00:40:58,q3q7yih9nmu1zm95q3q7yjekbw8l2ysd,,,
1938,person 53,Mansfield College,Female,,Male,Not interested,First,"First, Second, Third",History,Drinks,As long as it's legal,Politics,Peck on the cheek,3,5,2,4,5,2,1,2,3,Park End / ATIK / WTF it's called,4,2,3,,4,2,2.0,1,4,Sense of Humour,Kindness,Ambition,Very left-wing,True,Very conservative,Hassan's,Earth Sciences (Geology),Entz,OUCA,New College,Josh,False,,,True,True,False,,3,Give more options,True,2020-10-29 00:41:51,8vdmam8ds8x388vdm0r0q1nn416lznli,,,
1939,person 2050,New College,Female,,Male,Not interested,First,"First, Second, Third, Fourth + / Post Grad",Psychology (Experimental),Walk in the park,"Live fast, die young",The Deep Stuff™,Peck on the cheek,3,4,4,3,5,2,2,1,4,Plush,5,2,2,,2,4,2.0,2,4,Kindness,Kindness,Confidence,Moderately left-wing,False,,Hassan's,Fine Art,President,OUCA,University College,Aiden,False,,,True,False,False,,5,nah :),True,2020-10-29 00:48:56,m7vafdeai53dfv2c9m7va3j8fsvpf91g,,,
1940,person 1612,Christ Church,Male,,Male,Not interested,Second,Second,Mathematics,Coffee,As long as it's legal,Sex,Horizontal,5,1,5,3,5,3,1,5,3,A night in,5,3,1,,1,3,1.0,1,3,Kindness,Kindness,Confidence,I'm not political,False,,McCoy's,Physics,President,Student Journalism,Christ Church,Ali Izzatdust,True,person 589,Christ Church,True,True,False,,3,Nuh,False,2020-10-29 00:51:19,n315y1gah1q7n3rrt8h2rh32okacebex,,,
1941,person 589,Christ Church,Male,,Male,Not interested,Second,Second,Physics,Coffee,As long as it's legal,Sex,Horizontal,5,1,5,3,5,3,1,5,1,,5,3,1,,1,5,3.0,1,1,Intelligence,Kindness,Confidence,Sightly conservative,True,Sightly conservative,Hassan's,Chemistry,Entz,Student Journalism,Exeter College,Ali Izzatdust,True,person 1612,Christ Church,True,True,False,,3,No,False,2020-10-29 00:51:23,s101jle2g7tgbqta13s101j7n5uyb235,,,
1942,person 3111,Christ Church,Male,,Female,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",Chemistry,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,1,3,3,4,4,5,3,4,Park End / ATIK / WTF it's called,5,1,2,,5,4,3.0,2,3,Sense of Humour,Sense of Humour,Confidence,Sightly conservative,False,,McCoy's,Theology and Religion,Entz,Student Journalism,Christ Church,Ali Izzatdust,False,,,False,False,False,,4,no,True,2020-10-29 00:54:00,k95hnov0cfw4j91k41jf54k95hnogdfj,,,
1943,person 3122,St Hugh's College,Prefer not to say,Female,Male,Must have,First,"Fourth + / Post Grad, Third, Second, First",Physics,Dinner,As long as it's legal,Politics,Peck on the cheek,3,1,5,1,5,3,5,5,5,Bridge,5,5,5,Smoke purp,5,3,5.0,3,1,Ambition,Intelligence,Intelligence,Very left-wing,False,,Posh Nosh,Physics,Freshers Rep,Rowing,Magdalen College,Seshan,False,,,True,True,False,,5,No,False,2020-10-29 01:00:28,2y6wojnbmdol3hdhxwc2y6w9x2u6exqd,,,
1944,person 291,Brasenose College,Male,,Female,Not interested,First,First,"Psychology, Philosophy and Linguistics",Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,3,5,3,4,5,1,2,3,3,Park End / ATIK / WTF it's called,4,4,4,"Fleet Foxes, Beach House, Cocteau Twins, Slowdive, Weyes Blood, Radiohead",2,4,2.0,1,4,Kindness,Kindness,Ambition,Very left-wing,False,,Hassan's,Economics and Management,Freshers Rep,OUCA,Keble College,Jackson Spry,True,person 2715,Regent's Park College,True,True,False,,5,Nope,True,2020-10-29 01:23:33,yn0ls9ym78786ywkhmjywlnumln3wm6y,,,
1945,person 155,The Queen's College,Male,,"Male, Female",Not interested,Third,"First, Second, Third",Physics,Drinks,As long as it's legal,Random stuff,Peck on the cheek,1,2,2,3,3,1,5,4,4,Bridge,4,1,2,,4,2,3.0,3,3,Kindness,Confidence,Intelligence,Sightly conservative,True,"Very left-wing, Moderately left-wing, Very conservative",Ahmed's,Classics,President,OUCA,Corpus Christi College,The VC,False,,,False,True,False,,4,Pretty great 🙂,False,2020-10-29 01:49:58,85z7wx0rdtcnbznv2vkva85z7ws7994t,,,
1946,person 591,Lady Margaret Hall,Male,,Female,Not interested,Fourth + / Post Grad,"Second, Third, Fourth + / Post Grad",Classics,Coffee,As long as it's legal,"Art, Music, Culture...",Horizontal,1,4,3,4,4,3,1,4,2,,3,2,4,"Mozart, Beatles, Velvet Underground",4,3,4.0,2,5,Kindness,Intelligence,Confidence,Moderately left-wing,False,,Hassan's,Engineering Science,Welfare,Rowing,Magdalen College,I don't know.,False,,,False,False,False,,5,No.,False,2020-10-29 08:52:08,5q4u84udr85wclt2l5q4u84ugpr8ej0u,,,
1947,person 1954,Jesus College,Male,,Male,Happy either-way,Second,"Second, Third, First",Physics,Drinks,"Live fast, die young",Sex,Horizontal,3,3,5,3,5,4,4,3,4,Plush,4,3,3,,3,4,4.0,2,3,Confidence,Confidence,Ambition,Sightly conservative,True,Very left-wing,Hassan's,Geography,Freshers Rep,Rowing,St Catherine's College,,False,,,True,True,False,,5,none,False,2020-10-29 11:29:49,yg1tbhgq0nndq0zs3yg1tbhuzy2glv6o,,,
1948,person 355,Trinity College,Female,,Male,Not interested,Second,"First, Second, Third",Modern Languages,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,4,4,4,2,3,1,5,1,5,Park End / ATIK / WTF it's called,4,3,3,,4,4,4.0,2,5,Ambition,Kindness,Intelligence,I'm not political,False,,Hassan's,"Philosophy, Politics and Economics (PPE)",Freshers Rep,OUCA,Worcester College,,False,,,False,False,False,,5,.,True,2020-10-29 11:32:22,se1os2jalqv70zkp1dhwdbse1os2jr85,,,
1949,person 1089,St Edmund Hall,Female,,Male,Not interested,Second,"Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Dinner,"Live fast, die young",The Deep Stuff™,Peck on the cheek,4,5,3,3,4,4,1,2,3,Park End / ATIK / WTF it's called,3,2,4,Beyoncé,3,1,3.0,2,5,Kindness,Sense of Humour,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative",Ahmed's,Physics,Entz,Student Journalism,Lady Margaret Hall,Huh,False,,,False,True,False,,4,No,False,2020-10-29 11:35:38,8wak8cqncx28w7ec7ic8wak8onmmnpxm,,,
1950,person 3055,Exeter College,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Mathematics,Walk in the park,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,2,4,2,3,5,2,4,2,,5,1,3,,2,3,,3,4,Intelligence,Intelligence,Confidence,Moderately conservative,True,Very left-wing,Hassan's,Religion and Oriental Studies,President,Rowing,Worcester College,,True,did not enter oxmatch,Exeter College,True,True,False,,5,This was good,True,2020-10-29 12:03:12,vahgo67a1i3fybxbtsr4vahgo6gcda72,,,
1951,person 2698,Trinity College,Female,,Male,Happy either-way,Fourth + / Post Grad,Fourth + / Post Grad,Modern Languages and Linguistics,Coffee,As long as it's legal,"Art, Music, Culture...",Horizontal,3,4,2,5,2,2,2,3,4,Park End / ATIK / WTF it's called,5,2,5,The Weeknd,4,4,5.0,2,4,Intelligence,Ambition,Confidence,Moderately left-wing,True,Very conservative,Ahmed's,Theology and Religion,President,Rowing,Balliol College,,False,,,True,False,False,,3,,False,2020-10-29 12:21:40,q3djqwlauont9q990k1q3djqwlhl49a8,,,
1952,person 184,Green Templeton College,Female,,Male,Happy either-way,Fourth + / Post Grad,Fourth + / Post Grad,Other,Dinner,As long as it's legal,The Deep Stuff™,Peck on the cheek,2,4,1,4,3,2,1,2,4,A night in,5,2,5,Dream theater,2,3,,3,5,Kindness,Kindness,Confidence,I'm not political,False,,Posh Nosh,Archaeology and Anthropology,President,OUCA,Green Templeton College,readings,False,,,False,False,False,,4,no,False,2020-10-29 12:25:09,buivg2g757v2wb51quse9adbuivg2gc0,,,
1953,person 2058,Christ Church,Female,,Male,Not interested,First,"First, Second, Third",Classics and Modern Languages,Drinks,As long as it's legal,The Deep Stuff™,Peck on the cheek,2,5,4,4,5,2,1,2,3,A night in,5,2,4,"Hozier, the Beatles, the kinks, one direction",2,4,2.0,2,4,Kindness,Kindness,Confidence,Moderately left-wing,True,Very conservative,McCoy's,Economics and Management,President,OUCA,Wadham College,idk ive been here for 3 weeks😭,False,,,True,True,False,,5,no❤️,True,2020-10-29 12:50:02,va1xaawgm5c6ytk4m8bva1xaakknmnnr,,,
1954,person 2133,Mansfield College,Female,,Male,Happy either-way,First,"First, Second, Third",Geography,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,3,3,3,4,3,2,3,4,Park End / ATIK / WTF it's called,5,3,2,,3,3,3.0,2,5,Sense of Humour,Sense of Humour,Confidence,Slightly left-wing,True,Very conservative,Hassan's,Chemistry,President,OUCA,Wadham College,Ibz mo,False,,,True,True,False,,5,No,True,2020-10-29 12:50:09,r1t1hsyrh4o2iy1sr1t1hsqa5rydwam2,,,
1955,person 1647,St Anne's College,Female,,Male,Happy either-way,First,"First, Second",Psychology (Experimental),Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,4,5,3,5,3,5,1,5,Park End / ATIK / WTF it's called,5,4,4,"Tyler, the creator. Frank ocean. Sza. Jorja smith. Lauryn Hill. The smiths. Loyle Carner. Tom misch. MF Doom.",5,3,3.0,4,3,Sense of Humour,Kindness,Confidence,Slightly left-wing,False,,Hassan's,Physics,Entz,Rowing,St Hugh's College,Gracie Oddie-James,True,did not enter oxmatch,St Hugh's College,True,True,False,,4,More personal background info,True,2020-10-29 13:35:52,ef0xq6dbyqtbks9vxcef0xq6d31r70q7,,,
1956,person 2530,New College,Female,,Male,Not interested,Fourth + / Post Grad,Fourth + / Post Grad,Law (Jurisprudence),Coffee,As long as it's legal,Politics,Peck on the cheek,4,4,2,5,4,1,1,3,3,Plush,5,1,5,"Indie, rock",4,4,3.0,2,5,Sense of Humour,Kindness,Ambition,Very left-wing,True,Very conservative,Ahmed's,Theology and Religion,President,The Union,Mansfield College,My professors,False,,,True,True,False,,5,Can we choose more than one answer for some questions next time pls thank u 😇,True,2020-10-29 13:53:15,nfk2a1yqzv82xcb0nwinfk2a1yg7noi2,,,
1957,person 2839,Trinity College,Female,,Male,Not interested,First,"First, Second, Third",Engineering Science,Walk in the park,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,4,3,3,4,4,4,2,3,1,,2,2,2,,2,3,3.0,1,2,Sense of Humour,Kindness,Confidence,Moderately left-wing,False,,Hassan's,Theology and Religion,Entz,OUCA,Corpus Christi College,Rosie,False,,,True,True,False,,4,No,False,2020-10-29 14:03:17,sfeo60ymzkxawcqsf1kqlndoa66k1xh4,,,
1958,person 1531,St Peter's College,Male,,Female,Not interested,First,First,"Philosophy, Politics and Economics (PPE)",Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,4,5,4,5,3,2,3,4,Park End / ATIK / WTF it's called,4,2,3,,4,4,2.0,2,2,Sense of Humour,Sense of Humour,Intelligence,I'm not political,False,,Hassan's,Physics,Entz,Rowing,Worcester College,Charlie,True,did not enter oxmatch,St Peter's College,True,True,False,,4,No,True,2020-10-29 14:08:43,vqyf75ydttcl6ghfbdcovqyfr67uoktu,,,
1959,person 1140,St Anne's College,Female,,Male,Not interested,First,"First, Second, Third",Medicine,Dinner,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,3,4,3,4,3,3,3,3,2,,4,1,3,,4,4,2.0,3,3,Sense of Humour,Kindness,Intelligence,Moderate,False,,Hassan's,Physics,President,Rowing,St Catherine's College,Lexie,True,did not enter oxmatch,St Anne's College,False,True,False,,5,Add more than one crush’s one of us are thirsty,True,2020-10-29 14:11:23,djhdhrqxlx07f2d0xv7n7bddsgylueu4,,,
1960,person 528,Christ Church,Female,,Male,Not interested,First,"Second, Third, Fourth + / Post Grad",History (Ancient and Modern),Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,5,4,5,3,4,2,1,4,3,Bridge,5,3,1,,3,3,2.0,1,4,Sense of Humour,Sense of Humour,Ambition,Slightly left-wing,False,,McCoy's,"Philosophy, Politics and Economics (PPE)",Entz,OUCA,Brasenose College,,False,,,True,True,False,,5,nah good,False,2020-10-29 14:17:07,srd2566jkak6722rt4jtrsrd25665bv2,,,
1961,person 781,Trinity College,Female,,Male,Not interested,First,"First, Second, Third",English and Modern Languages,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,3,4,3,4,3,1,3,2,,4,3,3,,4,4,3.0,1,5,Sense of Humour,Kindness,Ambition,Moderate,True,"Very left-wing, Very conservative",Hassan's,Geography,Freshers Rep,Rowing,New College,Leanne Yau,False,,,True,True,False,,5,no!,False,2020-10-29 14:19:52,5666hsvwvt1aa75s8jwr05666hsrwbd1,,,
1962,person 2486,Jesus College,Male,,Female,Not interested,Fourth + / Post Grad,"First, Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Dinner,As long as it's legal,Politics,Peck on the cheek,4,3,5,1,5,2,5,1,4,Park End / ATIK / WTF it's called,5,2,3,,4,1,1.0,1,4,Sense of Humour,Sense of Humour,Confidence,Slightly left-wing,True,Very conservative,Hassan's,Computer Science,Welfare,The Union,Magdalen College,,False,,,True,False,False,,4,no,True,2020-10-29 14:43:55,ha95l6aif9xpmz6ha09xwykh9gweqx8q,,,
1963,person 2666,St Anne's College,Female,,"Male, Female, Nonbinary",Not interested,Third,"Second, Third",Geography,Walk in the park,2 Metres,Nonsense,Elbow Tap,4,4,1,3,3,1,2,2,2,,3,1,2,,2,4,,2,5,Kindness,Kindness,Intelligence,Moderately left-wing,True,Very conservative,Hassan's,Economics and Management,Welfare,The Union,Jesus College,,False,,,False,False,False,,5,No,False,2020-10-29 14:56:28,h3aefkew8efwtxudf3h3aefejfh25zsg,,,
1964,person 1388,Worcester College,Female,,"Male, Female, Nonbinary",Happy either-way,First,"First, Second",Medicine,Drinks,"Live fast, die young","Art, Music, Culture...",Peck on the cheek,3,4,5,3,4,2,4,2,4,Bridge,5,3,4,"Loyle Carner, NAO, Frank Ocean, SZA, Tame Impala, WILLOW, 1975, Taylor Swift, Phoebe Bridgers, Lianne la Havas",3,4,3.0,2,4,Confidence,Kindness,Intelligence,Slightly left-wing,True,"Very conservative, I'm not political",Hassan's,Music,Entz,OUCA,Magdalen College,Louis de Bernard,True,person 518,Worcester College,True,False,False,,4,no,True,2020-10-29 15:56:39,y630c7bk6cdyyq1ngs4y630cxp1sbnsf,,,
1965,person 3060,Worcester College,Female,,Male,Not interested,First,"First, Second, Third, Fourth + / Post Grad",Law (Jurisprudence),Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,1,4,2,3,4,2,2,4,Bridge,5,4,3,,4,4,4.0,3,2,Confidence,Confidence,Intelligence,Moderately conservative,True,"Very left-wing, Moderately left-wing",Hassan's,Computer Science,Entz,The Union,Christ Church,Milo Wills,True,person 1363,Christ Church,True,True,False,,4,:),True,2020-10-29 15:58:15,4ahai26spj0z2q4qyc4ahs8ciydxqzzc,,,
1966,person 348,Hertford College,Male,,Female,Not interested,Second,"First, Second, Third",Computer Science,Coffee,"Live fast, die young",The Deep Stuff™,Horizontal,4,1,5,2,3,4,5,5,3,Park End / ATIK / WTF it's called,5,4,4,Taylor Swift 🥰,1,1,5.0,3,4,Intelligence,Sense of Humour,Sense of Humour,Moderate,False,,Hassan's,"Philosophy, Politics and Economics (PPE)",Freshers Rep,The Union,St John's College,.,False,,,False,True,False,,4,.,False,2020-10-29 16:10:04,tdfocssyki5sftdfoqiutxzkntaz752u,,,
1967,person 177,University College,Male,,Female,Must have,Fourth + / Post Grad,"Second, Third, Fourth + / Post Grad",Chemistry,Drinks,"Live fast, die young",The Deep Stuff™,Horizontal,4,3,5,2,4,4,4,2,5,Fever,5,2,3,,3,2,2.0,1,3,Kindness,Kindness,Sense of Humour,Sightly conservative,False,,Ahmed's,Medicine (graduate entry),Entz,Student Journalism,Lady Margaret Hall,Zhijia Zhang,False,,,True,True,False,,4,Nah,False,2020-10-29 16:11:55,iz85wkhh4aemvftvsiz85w86zn628x10,,,
1968,person 424,St Catherine's College,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad",Computer Science,Walk in the park,All virtual,The Deep Stuff™,Elbow Tap,3,4,1,1,4,5,3,5,1,,3,1,3,,2,3,5.0,2,3,Intelligence,Intelligence,Kindness,Moderately left-wing,False,,Hassan's,Modern Languages,President,The Union,St John's College,wtf is this test for 13 year old girls?,False,,,False,False,False,,1,please use actually relevant questions,True,2020-10-29 16:20:59,8my79vsrkynqroi5h8myaexku8o8tb1f,,,
1969,person 2912,The Queen's College,Male,,Female,Happy either-way,Fourth + / Post Grad,Fourth + / Post Grad,Mathematics,Walk in the park,As long as it's legal,The Deep Stuff™,Elbow Tap,1,4,1,4,3,3,2,4,1,,3,1,4,,1,5,,4,4,Intelligence,Intelligence,Sense of Humour,Slightly left-wing,False,,Hassan's,"Philosophy, Politics and Economics (PPE)",President,The Union,St Hilda's College,,True,did not enter oxmatch,Wolfson College,True,True,False,,3,-,False,2020-10-29 16:30:10,5rm0yzk2klirm2ph0wmu5rm0yzkkmo6y,,,
1970,person 1695,Lady Margaret Hall,Male,,Female,Not interested,Third,"Second, Third, Fourth + / Post Grad, First",Mathematics and Computer Science,Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,2,2,3,3,2,4,3,4,Bridge,4,3,4,Don Broco,4,3,3.0,3,5,Sense of Humour,Kindness,Ambition,Moderate,True,"Very conservative, Very left-wing",Hassan's,Classical Archaeology and Ancient History,Freshers Rep,OUCA,Balliol College,Houssain,False,,,False,False,False,,3,Add extra option to best/worst trait,False,2020-10-29 16:44:23,cpcpz1ab82gqi82rcpcur7lxtn8z5cru,,,
1971,person 1077,Hertford College,Female,,Male,Not interested,Second,"First, Second, Third","Philosophy, Politics and Economics (PPE)",Drinks,As long as it's legal,Getting to you know stuff ,Peck on the cheek,4,3,4,3,4,2,4,3,4,Park End / ATIK / WTF it's called,5,3,2,,4,4,3.0,1,4,Sense of Humour,Sense of Humour,Confidence,Moderately left-wing,False,,Hassan's,Economics and Management,Welfare,Student Journalism,Worcester College,Ibz Mo,False,,,False,True,False,,4,I didn’t really get the ‘worst trait’ question,True,2020-10-29 16:44:31,1z8dwfsewx6qq7beuzb739mp1z8dwfxu,,,
1972,person 2524,St John's College,Male,,Female,Happy either-way,Second,"First, Second, Third",Mathematics,Walk in the park,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,2,4,3,1,3,1,4,2,,5,1,3,,1,3,3.0,1,4,Intelligence,Intelligence,Confidence,Moderate,False,,Hassan's,Theology and Religion,Freshers Rep,The Union,St Anne's College,.,False,,,True,True,False,,4,.,True,2020-10-29 16:48:58,75npfiow6ca3bg6675ny9tvu3frnah6c,,,
1973,person 2973,Lady Margaret Hall,Male,,Female,Not interested,Third,"First, Second, Third, Fourth + / Post Grad","Philosophy, Politics and Economics (PPE)",Drinks,"Live fast, die young","Art, Music, Culture...",Horizontal,3,2,2,3,4,2,4,4,4,Park End / ATIK / WTF it's called,4,2,3,,3,4,3.0,4,4,Sense of Humour,Intelligence,Ambition,Moderate,True,Very conservative,Hassan's,Economics and Management,President,OUCA,Mansfield College,Hussein,False,,,False,True,False,,4,No,False,2020-10-29 17:01:47,xobcbzn7myijfc9wbdpxobcy2fkt728p,,,
1974,person 2571,St Edmund Hall,Male,,Female,Not interested,Second,"First, Second, Third, Fourth + / Post Grad",History and Politics,Drinks,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,3,4,2,5,5,1,5,3,5,Fever,5,5,4,,4,1,,4,5,Kindness,Confidence,Ambition,Moderate,False,,Hassan's,Classics,Entz,OUCA,St Hilda's College,,False,,,False,True,False,,4,Nope,False,2020-10-29 17:10:42,b32v6dmuwcui5m6e6fb32v68s3ucx5e2,,,
1975,person 403,St Anne's College,Male,,Female,Not interested,First,"Second, First",Earth Sciences (Geology),Coffee,As long as it's legal,"Art, Music, Culture...",Peck on the cheek,2,5,2,3,5,2,1,3,1,,3,3,4,"Van McCann, Freddie Mercury, Joakim Broden",2,3,3.0,1,3,Sense of Humour,Kindness,Confidence,Moderately left-wing,True,"Very conservative, Moderately conservative",Hassan's,Theology and Religion,Entz,OUCA,Worcester College,James Lin,True,did not enter oxmatch,St Anne's College,True,True,True,Oriel College,5,none,True,2020-10-29 17:42:04,4sht6nc8hzh23828p4sht6nc3rylvd8b,,,
